datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2019-05-02T06:00:00Z,653,-1288,1929,-13595,7725,-2923
2019-05-02T09:00:00Z,-3494,1558,1053,15695,3411,127
2019-05-02T12:00:00Z,-829,634,-2624,-3193,7737,14155
2019-05-02T15:00:00Z,587,-1136,-1445,-1207,11149,11622
2019-05-02T18:00:00Z,-1560,-120,-2565,-944,10176,12481
2019-05-02T21:00:00Z,-2042,-1296,-1776,-827,7659,14344
2019-05-03T00:00:00Z,-2095,-1355,-1690,-768,8435,13786
2019-05-03T03:00:00Z,-2086,-1240,-1769,-246,7212,14632
2019-05-03T06:00:00Z,-2069,-1414,-1703,-1714,11663,11041
2019-05-03T09:00:00Z,-1187,398,-2610,-1765,8306,13930
2019-05-03T12:00:00Z,460,-872,-1656,-426,9905,13068
2019-05-03T15:00:00Z,172,-1702,-1083,-1230,9882,12851
2019-05-03T18:00:00Z,-835,936,-2719,-3434,6258,14573
2019-05-03T21:00:00Z,-1418,621,-2650,-20,7897,14259
2019-05-04T00:00:00Z,-1514,550,-2621,-1291,7162,14616
2019-05-04T03:00:00Z,-1617,653,-2603,206,7403,14522
2019-05-04T06:00:00Z,-2161,-299,-2149,807,1845,16383
2019-05-04T09:00:00Z,-847,736,-2609,-2997,7148,14559
2019-05-04T12:00:00Z,-1207,1121,-2556,-2876,4053,15975
2019-05-04T15:00:00Z,-862,-1719,-1562,-1294,6418,15105
2019-05-04T18:00:00Z,39,820,-2561,257,6487,15037
2019-05-04T21:00:00Z,-986,869,-2748,-1782,7077,14580
2019-05-05T00:00:00Z,-823,1245,-2781,1110,6011,15027
2019-05-05T03:00:00Z,-1179,1485,-2696,808,4916,15484
2019-05-05T06:00:00Z,-1406,301,-2648,1242,9822,13041
2019-05-05T09:00:00Z,-82,-712,-2141,-1633,-11140,16932
2019-05-05T12:00:00Z,491,-561,-1914,-324,7753,14402
2019-05-05T15:00:00Z,-252,-1304,-1807,-97,4936,15701
2019-05-05T18:00:00Z,19,-601,-2206,581,2595,16526
2019-05-05T21:00:00Z,98,-986,-1928,328,5472,15442
2019-05-06T00:00:00Z,166,-870,-1960,339,5476,15437
2019-05-06T03:00:00Z,-400,-1280,-1922,335,4419,15782
2019-05-06T06:00:00Z,-1678,-1843,-1439,635,7668,14359
2019-05-06T09:00:00Z,-1506,-1742,-1366,-1429,8285,14203
2019-05-06T12:00:00Z,-716,-1333,-1907,-4056,5608,15382
2019-05-06T15:00:00Z,-371,634,-2648,1199,7579,14228
2019-05-06T18:00:00Z,-2150,-951,-2009,-748,8027,14125
2019-05-06T21:00:00Z,-1811,320,-2566,-1012,6799,14767
2019-05-07T00:00:00Z,-1347,850,-2687,566,7185,14605
2019-05-07T03:00:00Z,-1793,842,-2596,31,5638,15315
2019-05-07T06:00:00Z,-1486,-2100,-924,-447,10496,12911
2019-05-07T09:00:00Z,-890,1595,-2575,-1880,3613,15924
2019-05-07T12:00:00Z,-1163,-1302,-1818,2939,3796,15875
2019-05-07T15:00:00Z,-1335,-2091,-1140,-1482,9372,13129
2019-05-07T18:00:00Z,-702,232,-2673,1557,9655,12963
2019-05-07T21:00:00Z,164,3,-2389,1605,6448,14949
2019-05-08T00:00:00Z,714,321,-2142,-1656,5347,15421
2019-05-08T03:00:00Z,419,114,-2278,207,5447,15447
2019-05-08T06:00:00Z,-1911,-2170,-781,-1476,11881,10442
2019-05-08T09:00:00Z,-1752,-512,-2386,-1256,1684,16170
2019-05-08T12:00:00Z,47,1681,-2539,1786,1256,17065
2019-05-08T15:00:00Z,-1281,-2284,-787,191,10644,12184
2019-05-08T18:00:00Z,32,-653,-2193,-1157,12668,9790
2019-05-08T21:00:00Z,-1544,800,-2655,-1870,5119,15358
2019-05-09T00:00:00Z,-1455,861,-2685,-2181,5070,15331
2019-05-09T03:00:00Z,-1225,799,-2694,-3387,5322,15122
2019-05-09T06:00:00Z,-1455,-277,-2506,-948,10976,11927
2019-05-09T09:00:00Z,-2391,-952,-1723,807,9229,13407
2019-05-09T12:00:00Z,-155,881,-2557,-59,6649,15026
2019-05-09T15:00:00Z,-817,-1784,-1517,171,6714,15022
2019-05-09T18:00:00Z,397,-745,-1876,116,9334,13430
